"0","n.d.","no data"
"1","AOV",""
"2","OAV",""
"3","AVO",""
"4","OVA",""
"5","VAO",""
"6","VOA",""
"7","xxV","The grammar requires the verb to be clause-final, but there are no grammatical constraints on the relative order of arguments."
"8","xVx","The grammar requires the verb to be clause-medial, but there are no grammatical constraints on the relative order of arguments."
"9","Vxx","The grammar requires the verb to be clause-initial, but there are no grammatical constraints on the relative order of arguments."
"10","free","No known grammatical constraints on word order"
"11","V-2",""
"12","SV","SV order in intransitive clauses."
"13","VS","VS order in intransitive clauses."
