個数 / WordOrderSPVBasicLex,列ラベル,,,,,,,,,,,,,,
行ラベル,free,OVS,SOV,SVO,V-2,VOS,VSO,Vxx,xxV,総計,,,,,
0,8,1,17,17,,4,6,1,,54,,,,,
A or P argument,,,1,,,,,,,1,,,,,
Head marking,,,1,,,,,,,1,,,,,
Both the A and P arguments,7,1,11,11,,4,2,,,36,,,,,
Double marking,1,,,2,,,,,,3,,,,,
Head marking,6,1,9,7,,3,1,,,27,,,,,
No marking,,,2,2,,1,,,,5,,,,,
Other,,,,,,,1,,,1,,,,,
No person marking,,,3,6,,,2,1,,12,,,,,
Dependent marking,,,,1,,,,,,1,,,,,
Double marking,,,1,2,,,2,1,,6,,,,,
No marking,,,2,3,,,,,,5,,,,,
Only the A argument,1,,1,,,,2,,,4,,,,,
Dependent marking,,,,,,,1,,,1,,,,,
No marking,1,,1,,,,1,,,3,,,,,
Only the P argument,,,1,,,,,,,1,,,,,
Head marking,,,1,,,,,,,1,,,,,
1,14,3,39,7,2,1,3,,1,70,,,,,
A or P argument,,,1,,,,,,,1,,,,Free with case-marking; SOV with case-marking = bulk,
Double marking,,,1,,,,,,,1,,,,,
Both the A and P arguments,8,3,17,1,,1,2,,,32,,,,,
Dependent marking,,,2,1,,,1,,,4,,,,,
Double marking,7,1,9,,,1,1,,,19,,,,,
Head marking,1,2,5,,,,,,,8,,,,,
Other,,,1,,,,,,,1,,,,,
No person marking,2,,11,1,1,,1,,,16,,,,,
Dependent marking,1,,8,1,,,,,,10,,,,,
Double marking,1,,1,,1,,,,,3,,,,,
Head marking,,,2,,,,,,,2,,,,,
No marking,,,,,,,1,,,1,,,,,
Only the A argument,3,,9,5,1,,,,,18,,,,,
Dependent marking,1,,5,3,1,,,,,10,,,,,
Double marking,2,,2,1,,,,,,5,,,,,
No marking,,,2,1,,,,,,3,,,,,
Only the P argument,1,,1,,,,,,1,3,,,,,
Dependent marking,1,,1,,,,,,1,3,,,,,
総計,22,4,56,24,2,5,9,1,1,124,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
個数 / WALSOrder,列ラベル,,,,,,,,,,,,,,
