"LID","WALSCode","Glottocode","ISO639.3","LanguageAutotyp","LanguageWALS","Area","SubBranch","WALSOrder","WALSTwoOrder","WordOrderSPVBasicLex","WordOrderSPVLexFlexible","Marking","CaseMarking","VerbPersonMarking","HasProdrop"
582,"abi","abip1241","axb","Abipon","Abipón","SE South America",NA,"SVO",NA,"SVO","rigid",NA,NA,NA,NA
7,"abk","abkh1244","abk","Abkhaz","Abkhaz","Greater Mesopotamia",NA,"SOV",NA,"SOV","rigid","Head marking",1,"Both the A and P arguments","Subject affixes on verb"
10,"aco","west2632","kjq","Acoma","Acoma","Basin and Plains",NA,"No dominant order",NA,"free","free","Head marking",0,"Both the A and P arguments","Subject affixes on verb"
642,"aeg","egyp1253","arz","Arabic (Egyptian)","Arabic (Egyptian)","N Africa","Central (West Semitic)","SVO",NA,"SVO","rigid","No marking",0,"Both the A and P arguments","Subject affixes on verb"
12,"ain","ainu1240","ain","Ainu","Ainu","N Coast Asia",NA,"SOV",NA,"SOV","rigid","No marking",0,"Both the A and P arguments","Subject affixes on verb"
14,"ala","alam1246","amp","Alamblak","Alamblak","N Coast New Guinea",NA,"SOV",NA,"SOV","rigid","Head marking",1,"Both the A and P arguments","Subject affixes on verb"
NA,"alb",NA,NA,NA,"Albanian",NA,NA,"SVO",NA,NA,NA,NA,NA,NA,"Subject affixes on verb"
18,"ale","aleu1260","ale","Aleut","Aleut","N Coast Asia",NA,"SOV",NA,"SOV","rigid",NA,NA,NA,NA
20,"ame","amel1241","aey","Amele","Amele","N Coast New Guinea","Mabuso","SOV",NA,"SOV","rigid","Head marking",0,"Both the A and P arguments",NA
21,"amh","amha1245","amh","Amharic","Amharic","Greater Abyssinia","Southern (West Semitic)","SOV",NA,"SOV","rigid",NA,NA,NA,"Subject affixes on verb"
620,"ana","arao1248","aro","Araona",NA,"NE South America",NA,NA,NA,"SOV","rigid",NA,NA,NA,NA
512,"apu","apur1254","apu","Apurina","Apurinã","NE South America",NA,"SVO",NA,"SVO","rigid","Head marking",0,"Both the A and P arguments","Subject affixes on verb"
NA,"arm",NA,NA,NA,"Armenian (Eastern)",NA,NA,"No dominant order","SOV or SVO",NA,NA,NA,NA,NA,"Subject affixes on verb"
NA,"arp",NA,NA,NA,"Arapesh (Mountain)",NA,NA,"SVO",NA,NA,NA,"Head marking",0,"Both the A and P arguments","Subject affixes on verb"
NA,"asm",NA,NA,NA,"Asmat",NA,NA,"SOV",NA,NA,NA,"Head marking",0,"Both the A and P arguments","Subject affixes on verb"
469,"awp","awac1239","kwi","Awa Pit","Awa Pit","Andean",NA,"SOV",NA,"SOV","rigid","Double marking",1,"A or P argument","Subject affixes on verb"
