"LID","WordOrderSPLex","WordOrderSPBasicLex","WordOrderSVBasicLex","PositionVBasicLex","WordOrderSPVBasicLex","PositionVBasicLex.binned.v4","PositionVBasicLex.binned.v1","PositionVBasicLex.binned.v3","PositionVBasicLex.binned.v2","WordOrderPVBasicLex","WordOrderSPSecondaryLex","WordOrderSVSecondaryLex","PositionVSecondaryLex","WordOrderSPVSecondaryLex","PositionVSecondaryLex.binned.v4","PositionVSecondaryLex.binned.v1","PositionVSecondaryLex.binned.v3","PositionVSecondaryLex.binned.v2","WordOrderPVSecondaryLex","VFinalLex","VFinalOrFreeLex","WordOrderSPVLexFlexible","VInitialLex","VMedialLex","WordOrderSVBasicLex","WordOrderSVSecondaryLex"
70,"mixed","OS","head-dep","V=1","VOS","non_final","other","initial","other","head-dep","SO","head-dep","V=1","VSO","non_final","other","initial","other","head-dep","mixed","mixed","flexible","mixed","mixed","VS","SV"
370,"SO","SO","dep-head","V=3","SOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
152,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
9,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
566,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
90,"mixed","SO","dep-head","V=3","SOV","final","final_or_free","other","other","dep-head","OS","head-dep","V=2","OVS","non_final","other","other","medial","dep-head","mixed","mixed","flexible","mixed","mixed","free",
79,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
59,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
538,"SO","SO","dep-head","V=2","SVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","SV",
10,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","SV",
1,"SO","SO","dep-head","V=3","SOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other","SV",
173,"OS","OS","head-dep","V=2","OVS","non_final","other","other","medial","dep-head",,,,,,,,,,"non_final","other","rigid","other","medial","SV",
2050,"SO","SO","dep-head","V=2","SVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","SV",
428,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","SV",
2124,"SO","SO","dep-head","V=2","SVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","SV",
2306,"SO","SO","dep-head","V=2","SVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","VS",
2145,"SO","SO","dep-head","V=2","SVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","VS",
372,"SO","SO","dep-head","V=2","SVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","VS",
329,"mixed","SO","dep-head","V=2","SVO","non_final","other","other","medial","head-dep","OS","head-dep","V=2","OVS","non_final","other","other","medial","dep-head","mixed","mixed","flexible","mixed","mixed","VS",
77,"mixed","OS","head-dep","V=1","VOS","non_final","other","initial","other","head-dep","SO","head-dep","V=1","VSO","non_final","other","initial","other","head-dep","mixed","mixed","flexible","mixed","mixed","VS",
176,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","VS",
461,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","VS",
