ID,Name,Parameter,Language,Frequency,Confidence,References
abi,No morphological case-marking,Number of Cases,Abipón,,,Najlis 1966
abk,2 cases,Number of Cases,Abkhaz,,,Hewitt 1979
aco,No morphological case-marking,Number of Cases,Acoma,,,Maring 1967;Miller 1965
ain,Exclusively borderline case-marking,Number of Cases,Ainu,,,Refsing 1986;Tamura 2000
ala,8-9 cases,Number of Cases,Alamblak,,,Bruce 1984
alb,4 cases,Number of Cases,Albanian,,,Buchholz and Fiedler 1987
ale,2 cases,Number of Cases,Aleut,,,Bergsland 1997
ame,No morphological case-marking,Number of Cases,Amele,,,Roberts 1987
amh,2 cases,Number of Cases,Amharic,,,Leslau 1995
amu,Exclusively borderline case-marking,Number of Cases,Amuesha,,,Duff-Tripp 1997
apu,Exclusively borderline case-marking,Number of Cases,Apurinã,,,Facundes 2000
arb,8-9 cases,Number of Cases,Arabela,,,Rich 1999
aeg,No morphological case-marking,Number of Cases,Arabic (Egyptian),,,Gary and Gamal-Eldin 1982
ana,5 cases,Number of Cases,Araona,,,Pitman 1980
arp,No morphological case-marking,Number of Cases,Arapesh (Mountain),,,Conrad and Wogiga 1991;Fortune 1942
arm,5 cases,Number of Cases,Armenian (Eastern),,,Kozintseva 1995
asm,No morphological case-marking,Number of Cases,Asmat,,,Voorhoeve 1965;Drabbe 1963
awp,10 or more cases,Number of Cases,Awa Pit,,,Curnow 1997
aym,6-7 cases,Number of Cases,Aymara (Central),,,Hardman de Bautista et al. 1988
bag,No morphological case-marking,Number of Cases,Bagirmi,,,Stevenson 1969
bam,No morphological case-marking,Number of Cases,Bambara,,,Campbell 2000
brs,2 cases,Number of Cases,Barasano,,,Jones and Jones 1991
bsq,10 or more cases,Number of Cases,Basque,,,Lafitte 1962;Saltarelli et al. 1988
bkr,No morphological case-marking,Number of Cases,Batak (Karo),,,Woollams 1996
baw,4 cases,Number of Cases,Bawm,,,Reichle 1981
bej,2 cases,Number of Cases,Beja,,,Hudson 1974
bec,6-7 cases,Number of Cases,Bengali (Chittagong),,,Ucida 1970
bma,2 cases,Number of Cases,Berber (Middle Atlas),,,Penchoen 1973b
brh,10 or more cases,Number of Cases,Brahui,,,Andronov 1980
bri,Exclusively borderline case-marking,Number of Cases,Bribri,,,Margery Peña 1996
bul,No morphological case-marking,Number of Cases,Bulgarian,,,Scatton 1993;Feuillet 1995
brm,8-9 cases,Number of Cases,Burmese,,,Okell 1969
bur,8-9 cases,Number of Cases,Burushaski,,,Berger 1998
cah,5 cases,Number of Cases,Cahuilla,,,Seiler 1977
ckr,No morphological case-marking,Number of Cases,Canela-Krahô,,,Popjes and Popjes 1986
car,No morphological case-marking,Number of Cases,Carib,,,Hoff 1968
ctl,No morphological case-marking,Number of Cases,Catalan,,,Wheeler et al. 1999
cyv,Exclusively borderline case-marking,Number of Cases,Cayuvava,,,Key 1967
cha,No morphological case-marking,Number of Cases,Chamorro,,,Topping 1973
cle,No morphological case-marking,Number of Cases,Chinantec (Lealao),,,Rupp 1989
chk,10 or more cases,Number of Cases,Chukchi,,,Dunn 1999
cba,No morphological case-marking,Number of Cases,Chumash (Barbareño),,,Wash 2001
chv,6-7 cases,Number of Cases,Chuvash,,,Clark 1998a
cmn,3 cases,Number of Cases,Comanche,,,Charney 1993
coo,8-9 cases,Number of Cases,Coos (Hanis),,,Frachtenberg 1922a
cre,Exclusively borderline case-marking,Number of Cases,Cree (Plains),,,Wolfart and Carroll 1981;Dahlstrom 1991
dag,Exclusively borderline case-marking,Number of Cases,Daga,,,Murane 1974
dni,6-7 cases,Number of Cases,Dani (Lower Grand Valley),,,Bromley 1981
dio,No morphological case-marking,Number of Cases,Diola-Fogny,,,Sapir 1965
don,No morphological case-marking,Number of Cases,Dong (Southern),,,Long and Zheng 1998
dre,No morphological case-marking,Number of Cases,Drehu,,,Moyse-Faurie 1983
dut,No morphological case-marking,Number of Cases,Dutch,,,Donaldson 1997b
dyi,6-7 cases,Number of Cases,Dyirbal,,,Dixon 1972
eka,Exclusively borderline case-marking,Number of Cases,Ekari,,,Drabbe 1952
eng,2 cases,Number of Cases,English,,,Quirk et al. 1985
epe,10 or more cases,Number of Cases,Epena Pedee,,,Harms 1994
est,10 or more cases,Number of Cases,Estonian,,,Viitso 1998
eve,10 or more cases,Number of Cases,Evenki,,,Nedjalkov 1997
ewe,No morphological case-marking,Number of Cases,Ewe,,,Pasch 1995
fij,No morphological case-marking,Number of Cases,Fijian,,,Dixon 1988
fin,10 or more cases,Number of Cases,Finnish,,,Karlsson 1999
fre,No morphological case-marking,Number of Cases,French,,,Judge and Healey 1985
frw,No morphological case-marking,Number of Cases,Frisian (Western),,,Tiersma 1985
fua,No morphological case-marking,Number of Cases,Fula (Cameroonian),,,Arnott 1970
fur,4 cases,Number of Cases,Fur,,,Beaton 1968;Jakobi 1990
gar,8-9 cases,Number of Cases,Garo,,,Burling 1961
geo,6-7 cases,Number of Cases,Georgian,,,Fähnrich 1987
ger,4 cases,Number of Cases,German,,,Duden 1998
gim,6-7 cases,Number of Cases,Gimira,,,Breeze 1990
goo,10 or more cases,Number of Cases,Gooniyandi,,,McGregor 1990
grb,No morphological case-marking,Number of Cases,Grebo,,,Innes 1966
grk,3 cases,Number of Cases,Greek (Modern),,,Holton et al. 1997
grw,8-9 cases,Number of Cases,Greenlandic (West),,,Fortescue 1984
gua,No morphological case-marking,Number of Cases,Guaraní,,,Gregores and Suarez 1967
hai,No morphological case-marking,Number of Cases,Haida,,,Levine 1977
ham,10 or more cases,Number of Cases,Hamtai,,,Oates and Oates 1968
hau,No morphological case-marking,Number of Cases,Hausa,,,Wolff 1993
heb,No morphological case-marking,Number of Cases,Hebrew (Modern),,,Glinert 1989
hix,No morphological case-marking,Number of Cases,Hixkaryana,,,Derbyshire 1979
hmo,No morphological case-marking,Number of Cases,Hmong Njua,,,Harriehausen 1990
hua,8-9 cases,Number of Cases,Hua,,,Haiman 1980
hve,No morphological case-marking,Number of Cases,Huave (San Mateo del Mar),,,Stairs Kreger and Scharfe de Stairs 1981
hmi,6-7 cases,Number of Cases,Huitoto (Minica),,,Minor et al. 1982
hun,10 or more cases,Number of Cases,Hungarian,,,Tompa 1968
hzb,10 or more cases,Number of Cases,Hunzib,,,van den Berg 1995
iaa,No morphological case-marking,Number of Cases,Iaai,,,Ozanne-Rivierre 1976
ice,4 cases,Number of Cases,Icelandic,,,Kress 1982
igb,No morphological case-marking,Number of Cases,Igbo,,,Green and Igwe 1963
ika,6-7 cases,Number of Cases,Ika,,,Frank 1990
ilo,No morphological case-marking,Number of Cases,Ilocano,,,Rubino 2000
imo,5 cases,Number of Cases,Imonda,,,Seiler 1985
ind,No morphological case-marking,Number of Cases,Indonesian,,,Sneddon 1996
ing,10 or more cases,Number of Cases,Ingush,,,Nichols 1994b
irq,Exclusively borderline case-marking,Number of Cases,Iraqw,,,Mous 1993
iri,2 cases,Number of Cases,Irish,,,Bammesberger 1982
ita,No morphological case-marking,Number of Cases,Italian,,,Maiden and Robustelli 2000
jak,No morphological case-marking,Number of Cases,Jakaltek,,,Day 1973;Craig 1977
jpn,8-9 cases,Number of Cases,Japanese,,,Kaiser et al. 2001;Hinds 1986
juh,No morphological case-marking,Number of Cases,Ju|'hoan,,,Snyman 1970
kly,8-9 cases,Number of Cases,Kala Lagaw Ya,,,Comrie 1981a;Bani and Klokeid 1972
kls,6-7 cases,Number of Cases,Kalispel,,,Vogt 1940;Thomason and Everett 1993
knd,6-7 cases,Number of Cases,Kannada,,,Sridhar 1990
knr,6-7 cases,Number of Cases,Kanuri,,,Hutchison 1976;Cyffer 1998
krk,3 cases,Number of Cases,Karok,,,Bright 1957
kas,4 cases,Number of Cases,Kashmiri,,,Wali and Koul 1997
kyl,No morphological case-marking,Number of Cases,Kayah Li (Eastern),,,Solnit 1997
kay,10 or more cases,Number of Cases,Kayardild,,,Evans 1995
ker,Exclusively borderline case-marking,Number of Cases,Kera,,,Ebert 1979
ket,10 or more cases,Number of Cases,Ket,,,Werner 1997a
kew,6-7 cases,Number of Cases,Kewa,,,Franklin 1971
kha,8-9 cases,Number of Cases,Khalkha,,,Poppe 1951
kty,3 cases,Number of Cases,Khanty,,,Nikolaeva 1999
khs,No morphological case-marking,Number of Cases,Khasi,,,Rabel 1961
khm,No morphological case-marking,Number of Cases,Khmer,,,Campbell 2000;Jacob 1968
kmu,No morphological case-marking,Number of Cases,Khmu',,,Premsrirat 1987
kho,2 cases,Number of Cases,Khoekhoe,,,Hagman 1977
klv,No morphological case-marking,Number of Cases,Kilivila,,,Senft 1986
kin,No morphological case-marking,Number of Cases,Kinyarwanda,,,Kimenyi 1980
kio,Exclusively borderline case-marking,Number of Cases,Kiowa,,,Watkins 1984
krb,No morphological case-marking,Number of Cases,Kiribati,,,Groves et al. 1985
koa,6-7 cases,Number of Cases,Koasati,,,Kimball 1991
kob,No morphological case-marking,Number of Cases,Kobon,,,Davies 1981b
kmb,No morphological case-marking,Number of Cases,Kombai,,,de Vries 1989
kon,No morphological case-marking,Number of Cases,Kongo,,,Bentley 1887
kor,6-7 cases,Number of Cases,Korean,,,Sohn 1999;Chang 1996;Lee and Ramsey 2000
kfe,No morphological case-marking,Number of Cases,Koromfe,,,Rennison 1997
kos,No morphological case-marking,Number of Cases,Kosraean,,,Lee 1975
kse,No morphological case-marking,Number of Cases,Koyraboro Senni,,,Heath 1999a
kro,6-7 cases,Number of Cases,Krongo,,,Reh 1985
knm,6-7 cases,Number of Cases,Kunama,,,Böhm 1984;Bender 1996
kut,No morphological case-marking,Number of Cases,Kutenai,,,Boas 1927
lad,5 cases,Number of Cases,Ladakhi,,,Koshal 1979
lak,10 or more cases,Number of Cases,Lak,,,Zhirkov 1955;Murkelinskij 1967
lkt,No morphological case-marking,Number of Cases,Lakhota,,,Boas and Deloria 1941;Buechel 1939
lan,No morphological case-marking,Number of Cases,Lango,,,Noonan 1992
lat,5 cases,Number of Cases,Latvian,,,Mathiassen 1997
lav,No morphological case-marking,Number of Cases,Lavukaleve,,,Terrill 1999
lep,2 cases,Number of Cases,Lepcha,,,Mainwaring 1971
lez,10 or more cases,Number of Cases,Lezgian,,,Haspelmath 1993
lit,6-7 cases,Number of Cases,Lithuanian,,,Mathiassen 1996
luv,No morphological case-marking,Number of Cases,Luvale,,,Horton 1949
mab,3 cases,Number of Cases,Maba,,,Tucker and Bryan 1966;Trenga 1947
mdr,No morphological case-marking,Number of Cases,Madurese,,,Davies 1999
mak,No morphological case-marking,Number of Cases,Makah,,,Jacobsen 1999
mal,No morphological case-marking,Number of Cases,Malagasy,,,Dez 1980b
mlk,6-7 cases,Number of Cases,Malakmalak,,,Birk 1976
mym,6-7 cases,Number of Cases,Malayalam,,,Asher and Kumari 1997
mnd,No morphological case-marking,Number of Cases,Mandarin,,,Li and Thompson 1981
myi,8-9 cases,Number of Cases,Mangarrayi,,,Merlan 1982
mao,No morphological case-marking,Number of Cases,Maori,,,Bauer 1993
map,2 cases,Number of Cases,Mapudungun,,,Smeets 1989
mku,Exclusively borderline case-marking,Number of Cases,Maranungku,,,Tryon 1970b
mhi,5 cases,Number of Cases,Marathi,,,Pandharipande 1997
mar,6-7 cases,Number of Cases,Maricopa,,,Gordon 1986
mrd,No morphological case-marking,Number of Cases,Marind,,,Drabbe 1955
mrt,10 or more cases,Number of Cases,Martuthunira,,,Dench 1995
mau,No morphological case-marking,Number of Cases,Maung,,,Capell and Hinch 1970
may,2 cases,Number of Cases,Maybrat,,,Dol 1999
mei,6-7 cases,Number of Cases,Meithei,,,Bhat and Ningomba 1997;Chelliah 1997
mss,6-7 cases,Number of Cases,Miwok (Southern Sierra),,,Broadbent 1964
mxc,No morphological case-marking,Number of Cases,Mixtec (Chalcatongo),,,Macaulay 1996
mok,No morphological case-marking,Number of Cases,Mokilese,,,Harrison 1976
moe,10 or more cases,Number of Cases,Mordvin (Erzya),,,Zaicz 1998
mun,8-9 cases,Number of Cases,Mundari,,,Sinha 1975;Osada 1992
mrl,4 cases,Number of Cases,Murle,,,Arensen 1982
nht,No morphological case-marking,Number of Cases,Nahuatl (Tetelcingo),,,Tuggy 1979
nav,No morphological case-marking,Number of Cases,Navajo,,,Young and Morgan 1980
ndy,No morphological case-marking,Number of Cases,Ndyuka,,,Huttar and Huttar 1994
nen,6-7 cases,Number of Cases,Nenets,,,Tereshchenko 1966a;Salminen 1998
nez,10 or more cases,Number of Cases,Nez Perce,,,Aoki 1970;Rude 1985
nti,No morphological case-marking,Number of Cases,Ngiti,,,Kutsch Lojenga 1994
ngi,5 cases,Number of Cases,Ngiyambaa,,,Donaldson 1980
