ID,Name,Parameter,Language,Frequency,Confidence,References
abk,Head marking,Locus of Marking in the Clause,Abkhaz,,,Hewitt 1979
ace,Head marking,Locus of Marking in the Clause,Acehnese,,,Durie 1985
aco,Head marking,Locus of Marking in the Clause,Acoma,,,Miller 1965
ain,No marking,Locus of Marking in the Clause,Ainu,,,Tamura 2000;Shibatani 1990;Patrie 1982
ala,Head marking,Locus of Marking in the Clause,Alamblak,,,Bruce 1984
amb,Dependent marking,Locus of Marking in the Clause,Ambulas,,,Laycock 1965a;Wilson 1980
ame,Head marking,Locus of Marking in the Clause,Amele,,,Roberts 1987
ane,Head marking,Locus of Marking in the Clause,Anêm,,,Thurston 1982
apu,Head marking,Locus of Marking in the Clause,Apurinã,,,Facundes 2000
aeg,No marking,Locus of Marking in the Clause,Arabic (Egyptian),,,Gary and Gamal-Eldin 1982
arp,Head marking,Locus of Marking in the Clause,Arapesh (Mountain),,,Conrad and Wogiga 1991
amp,Dependent marking,Locus of Marking in the Clause,Arrernte (Mparntwe),,,Wilkins 1989
asm,Head marking,Locus of Marking in the Clause,Asmat,,,Drabbe 1959a;Voorhoeve 1965
atk,Head marking,Locus of Marking in the Clause,Atakapa,,,Swanton 1929
awp,Double marking,Locus of Marking in the Clause,Awa Pit,,,Curnow 1997
awt,Dependent marking,Locus of Marking in the Clause,Awtuw,,,Feldman 1986
aym,Double marking,Locus of Marking in the Clause,Aymara (Central),,,Hardman 2001
bag,Head marking,Locus of Marking in the Clause,Bagirmi,,,Stevenson 1969
brs,Double marking,Locus of Marking in the Clause,Barasano,,,Jones and Jones 1991;Smith 1973
bsq,Double marking,Locus of Marking in the Clause,Basque,,,Lafitte 1962;Saltarelli et al. 1988;King 1993b
bzi,No marking,Locus of Marking in the Clause,Bauzi,,,Kuleti 1980
bej,Dependent marking,Locus of Marking in the Clause,Beja,,,Hudson 1974
bel,Double marking,Locus of Marking in the Clause,Belhare,,,
bma,Dependent marking,Locus of Marking in the Clause,Berber (Middle Atlas),,,Penchoen 1973b
bbw,Head marking,Locus of Marking in the Clause,Bininj Gun-Wok,,,Oates 1964a
brr,Head marking,Locus of Marking in the Clause,Bororo,,,Crowell 1979
brh,Dependent marking,Locus of Marking in the Clause,Brahui,,,Andronov 1980
bri,No marking,Locus of Marking in the Clause,Bribri,,,Margery Peña 1982
brm,Dependent marking,Locus of Marking in the Clause,Burmese,,,Okell 1969
buu,No marking,Locus of Marking in the Clause,Buru,,,Grimes 1991
bur,Double marking,Locus of Marking in the Clause,Burushaski,,,Berger 1998
ckr,Head marking,Locus of Marking in the Clause,Canela-Krahô,,,Popjes and Popjes 1986
cyv,No marking,Locus of Marking in the Clause,Cayuvava,,,Key 1967
cha,Dependent marking,Locus of Marking in the Clause,Chamorro,,,Topping 1973
chy,Double marking,Locus of Marking in the Clause,Chayahuita,,,Hart 1988
cjo,Head marking,Locus of Marking in the Clause,Chichimeca-Jonaz,,,Lastra de Suárez 1984
cku,Head marking,Locus of Marking in the Clause,Chinook (Upper),,,Dyk 1933
ctm,Head marking,Locus of Marking in the Clause,Chitimacha,,,Swadesh 1946b
cho,Head marking,Locus of Marking in the Clause,Chontal (Highland),,,Waterhouse 1962;Turner and Turner 1971
chk,Double marking,Locus of Marking in the Clause,Chukchi,,,Dunn 1999
cin,Head marking,Locus of Marking in the Clause,Chumash (Ineseño),,,Applegate 1972
ccp,Double marking,Locus of Marking in the Clause,Cocopa,,,Crawford 1966
coo,Head marking,Locus of Marking in the Clause,Coos (Hanis),,,Frachtenberg 1922a
cre,Head marking,Locus of Marking in the Clause,Cree (Plains),,,Dahlstrom 1991;Wolfart 1973
dag,Head marking,Locus of Marking in the Clause,Daga,,,Murane 1974
dni,Head marking,Locus of Marking in the Clause,Dani (Lower Grand Valley),,,Fahner 1979;Bromley 1981
diy,Dependent marking,Locus of Marking in the Clause,Diyari,,,Austin 1981
diz,Dependent marking,Locus of Marking in the Clause,Dizi,,,Allan 1976b
djp,Dependent marking,Locus of Marking in the Clause,Djapu,,,Morphy 1983
dji,Double marking,Locus of Marking in the Clause,Djingili,,,Chadwick 1975
dum,No marking,Locus of Marking in the Clause,Dumo,,,Ross 1980
dyi,Dependent marking,Locus of Marking in the Clause,Dyirbal,,,Dixon 1972
eka,Head marking,Locus of Marking in the Clause,Ekari,,,Steltenpool 1969;Boelaars 1950
eng,Dependent marking,Locus of Marking in the Clause,English,,,
epe,Dependent marking,Locus of Marking in the Clause,Epena Pedee,,,Harms 1994
