ID,Name,Parameter,Language,Frequency,Confidence,References
abi,Both the A and P arguments,Verbal Person Marking,Abipón,,,Najlis 1966
abk,Both the A and P arguments,Verbal Person Marking,Abkhaz,,,Hewitt 1979
abu,No person marking,Verbal Person Marking,Abun,,,Berry and Berry 1999
ace,Both the A and P arguments,Verbal Person Marking,Acehnese,,,Durie 1985
acm,Both the A and P arguments,Verbal Person Marking,Achumawi,,,de Angulo and Freeland 1931
aco,Both the A and P arguments,Verbal Person Marking,Acoma,,,Miller 1965
adz,No person marking,Verbal Person Marking,Adzera,,,Holzknecht 1986
ain,Both the A and P arguments,Verbal Person Marking,Ainu,,,Shibatani 1990
ala,Both the A and P arguments,Verbal Person Marking,Alamblak,,,Bruce 1984
alb,Both the A and P arguments,Verbal Person Marking,Albanian,,,Camaj 1984
ame,Both the A and P arguments,Verbal Person Marking,Amele,,,Roberts 1987
amh,Both the A and P arguments,Verbal Person Marking,Amharic,,,Hudson 1997
amu,Both the A and P arguments,Verbal Person Marking,Amuesha,,,Wise 1986
anj,Only the P argument,Verbal Person Marking,Anejom,,,Lynch 1982a
ane,Both the A and P arguments,Verbal Person Marking,Anêm,,,Thurston 1982
ani,Only the P argument,Verbal Person Marking,//Ani,,,Heine 1999a
apu,Both the A and P arguments,Verbal Person Marking,Apurinã,,,Facundes 2000
abn,No person marking,Verbal Person Marking,Arabana,,,Hercus 1994
aeg,Both the A and P arguments,Verbal Person Marking,Arabic (Egyptian),,,Gary and Gamal-Eldin 1982
ana,No person marking,Verbal Person Marking,Araona,,,Pitman 1980
arp,Both the A and P arguments,Verbal Person Marking,Arapesh (Mountain),,,Conrad and Wogiga 1991
ara,Both the A and P arguments,Verbal Person Marking,Arawak,,,Pet 1987
arm,Only the A argument,Verbal Person Marking,Armenian (Eastern),,,Kozintseva 1999
asm,Both the A and P arguments,Verbal Person Marking,Asmat,,,Voorhoeve 1965
atk,Both the A and P arguments,Verbal Person Marking,Atakapa,,,Swanton 1929
ata,Only the A argument,Verbal Person Marking,Atayal,,,Rau 1992
au,Both the A and P arguments,Verbal Person Marking,Au,,,Scorza 1985
awp,A or P argument,Verbal Person Marking,Awa Pit,,,Curnow 1997
awt,No person marking,Verbal Person Marking,Awtuw,,,Feldman 1986
aym,Both the A and P arguments,Verbal Person Marking,Aymara (Central),,,Hardman de Bautista et al. 1988
bab,No person marking,Verbal Person Marking,Babungo,,,Schaub 1985
bag,Both the A and P arguments,Verbal Person Marking,Bagirmi,,,Stevenson 1969
bam,No person marking,Verbal Person Marking,Bambara,,,Bird and Kante 1976
bnj,No person marking,Verbal Person Marking,Bandjalang,,,Crowley 1978
baa,Both the A and P arguments,Verbal Person Marking,Barai,,,Olson 1975
brs,Only the A argument,Verbal Person Marking,Barasano,,,Jones and Jones 1991
bar,No person marking,Verbal Person Marking,Bari,,,Spagnolo 1933
bsq,Both the A and P arguments,Verbal Person Marking,Basque,,,Saltarelli et al. 1988
bkr,Only the P argument,Verbal Person Marking,Batak (Karo),,,Woollams 1996
baw,Both the A and P arguments,Verbal Person Marking,Bawm,,,Reichle 1981
bej,Both the A and P arguments,Verbal Person Marking,Beja,,,Hudson 1976b
bma,Both the A and P arguments,Verbal Person Marking,Berber (Middle Atlas),,,Penchoen 1973b
ber,Both the A and P arguments,Verbal Person Marking,Berta,,,Triulzi et al. 1976a
bln,Both the A and P arguments,Verbal Person Marking,Bilin,,,Hetzron 1976
brr,Both the A and P arguments,Verbal Person Marking,Bororo,,,Crowell 1979
brh,Only the A argument,Verbal Person Marking,Brahui,,,Andronov 1980
bri,No person marking,Verbal Person Marking,Bribri,,,Constenla Umaña et al. 1979
bro,No person marking,Verbal Person Marking,Broken,,,Shnukal 1988
brm,No person marking,Verbal Person Marking,Burmese,,,Okell 1969
brn,Only the A argument,Verbal Person Marking,Burunge,,,Kiessling 1994
bur,Both the A and P arguments,Verbal Person Marking,Burushaski,,,Tiffou and Pesot 1989
bya,Only the A argument,Verbal Person Marking,Byansi,,,Trivedi 1991
cah,Both the A and P arguments,Verbal Person Marking,Cahuilla,,,Seiler 1977
cax,Both the A and P arguments,Verbal Person Marking,Campa (Axininca),,,Payne 1981
can,Both the A and P arguments,Verbal Person Marking,Candoshi,,,Anderson and Wise 1963
