ID,Name,Parameter,Language,Frequency,Confidence,References
aar,Subject affixes on verb,Expression of Pronominal Subjects,Aari,,,Hayward 1990a
abk,Subject affixes on verb,Expression of Pronominal Subjects,Abkhaz,,,Hewitt 1979
abv,Subject pronouns in different position,Expression of Pronominal Subjects,Abui,,,Kratochvil 2007
abu,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Abun,,,Berry 1995b
acg,Subject affixes on verb,Expression of Pronominal Subjects,Achagua,,,Wilson and Levinsohn 1992
acl,Subject affixes on verb,Expression of Pronominal Subjects,Acholi,,,Crazzolara 1955
aco,Subject affixes on verb,Expression of Pronominal Subjects,Acoma,,,Maring 1967
aga,Subject affixes on verb,Expression of Pronominal Subjects,Agarabi,,,Goddard 1967
ain,Subject affixes on verb,Expression of Pronominal Subjects,Ainu,,,Refsing 1986;Shibatani 1990
aja,Subject affixes on verb,Expression of Pronominal Subjects,Aja,,,Santandrea 1976
all,Subject affixes on verb,Expression of Pronominal Subjects,Ala'ala,,,Symonds 1989
ala,Subject affixes on verb,Expression of Pronominal Subjects,Alamblak,,,Bruce 1984
alb,Subject affixes on verb,Expression of Pronominal Subjects,Albanian,,,Newmark et al. 1982
aln,Mixed,Expression of Pronominal Subjects,Alune,,,Niggemeyer 1951
aml,Subject pronouns in different position,Expression of Pronominal Subjects,Ambae (Lolovoli Northeast),,,Hyslop 2001
amq,Subject affixes on verb,Expression of Pronominal Subjects,Ambai,,,Silzer 1983
amb,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Ambulas,,,Wilson 1980
amh,Subject affixes on verb,Expression of Pronominal Subjects,Amharic,,,Cotterell 1964
amx,Subject affixes on verb,Expression of Pronominal Subjects,Anamuxra,,,Ingram 2001
anj,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Anejom,,,Lynch 2000
ane,Subject affixes on verb,Expression of Pronominal Subjects,Anêm,,,Thurston 1982
ang,Subject affixes on verb,Expression of Pronominal Subjects,Anggor,,,Litteral 1972;Litteral 1980
agt,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Anguthimri,,,Crowley 1981
any,Subject affixes on verb,Expression of Pronominal Subjects,Anywa,,,Lusted 1976
ao,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Ao,,,Gowda 1975
apw,Subject affixes on verb,Expression of Pronominal Subjects,Apache (Western),,,Edgerton 1963
apl,Subject affixes on verb,Expression of Pronominal Subjects,Apalaí,,,Koehn and Koehn 1986
apu,Subject affixes on verb,Expression of Pronominal Subjects,Apurinã,,,Facundes 2000;Polak 1894
aeg,Subject affixes on verb,Expression of Pronominal Subjects,Arabic (Egyptian),,,Gary and Gamal-Eldin 1982
arg,Subject affixes on verb,Expression of Pronominal Subjects,Arabic (Gulf),,,Holes 1990
arq,Subject affixes on verb,Expression of Pronominal Subjects,Arabic (Iraqi),,,Erwin 1963
amr,Subject affixes on verb,Expression of Pronominal Subjects,Arabic (Moroccan),,,Harrell 1962
asy,Subject affixes on verb,Expression of Pronominal Subjects,Arabic (Syrian),,,Cowell 1964
arp,Subject affixes on verb,Expression of Pronominal Subjects,Arapesh (Mountain),,,Conrad and Wogiga 1991
ara,Subject affixes on verb,Expression of Pronominal Subjects,Arawak,,,Pet 1987
arm,Subject affixes on verb,Expression of Pronominal Subjects,Armenian (Eastern),,,
arw,Subject affixes on verb,Expression of Pronominal Subjects,Armenian (Western),,,Gulian 1965
amp,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Arrernte (Mparntwe),,,Wilkins 1989
asm,Subject affixes on verb,Expression of Pronominal Subjects,Asmat,,,Voorhoeve 1965
ass,Subject affixes on verb,Expression of Pronominal Subjects,Assamese,,,Goswami and Tamuli 2003
ata,Subject clitics on variable host,Expression of Pronominal Subjects,Atayal,,,Rau 1992
ath,Subject affixes on verb,Expression of Pronominal Subjects,Athpare,,,Ebert 1997b
awa,Subject affixes on verb,Expression of Pronominal Subjects,Awa,,,Loving and McKaughan 1973
awp,Subject affixes on verb,Expression of Pronominal Subjects,Awa Pit,,,Curnow 1997
awt,Optional pronouns in subject position,Expression of Pronominal Subjects,Awtuw,,,Feldman 1986
aym,Subject affixes on verb,Expression of Pronominal Subjects,Aymara (Central),,,Wexler 1967;Ebbing 1965
ayr,Subject affixes on verb,Expression of Pronominal Subjects,Ayoreo,,,Adelaar 2004
bbl,Subject affixes on verb,Expression of Pronominal Subjects,Babole,,,Leitch 1994
bab,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Babungo,,,Schaub 1985
bgr,Subject affixes on verb,Expression of Pronominal Subjects,Bagiro,,,Boyeldieu 2000
bku,Subject affixes on verb,Expression of Pronominal Subjects,Bakueri,,,Kagaya 1992
blz,Subject affixes on verb,Expression of Pronominal Subjects,Balanta,,,Fudemann 1999
bvi,Subject pronouns in different position,Expression of Pronominal Subjects,Bali-Vitu,,,Ross 2002c
bnn,Subject pronouns in different position,Expression of Pronominal Subjects,Banoni,,,Lincoln 1976
brs,Subject affixes on verb,Expression of Pronominal Subjects,Barasano,,,Jones and Jones 1991
bae,Subject affixes on verb,Expression of Pronominal Subjects,Baré,,,Aikhenvald 1996
brp,Subject affixes on verb,Expression of Pronominal Subjects,Barupu,,,Corris 2005
bas,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Basaá,,,Schürle 1912
bsr,Subject affixes on verb,Expression of Pronominal Subjects,Basari,,,Ferry 1981
bsk,Subject affixes on verb,Expression of Pronominal Subjects,Bashkir,,,Poppe 1964
bsq,Subject affixes on verb,Expression of Pronominal Subjects,Basque,,,Saltarelli et al. 1988
bkr,Mixed,Expression of Pronominal Subjects,Batak (Karo),,,Woollams 1996
ble,Subject pronouns in different position,Expression of Pronominal Subjects,Baule,,,Carteron 1972
baw,Subject pronouns in different position,Expression of Pronominal Subjects,Bawm,,,Reichle 1981
bej,Subject affixes on verb,Expression of Pronominal Subjects,Beja,,,Reinisch 1893;Almkvist 1881
bel,Subject affixes on verb,Expression of Pronominal Subjects,Belhare,,,Bickel 2003
bco,Subject affixes on verb,Expression of Pronominal Subjects,Bella Coola,,,Davis and Saunders 1997;Davis and Saunders 1978
bem,Subject affixes on verb,Expression of Pronominal Subjects,Bemba,,,van Sambeek 1955
bfg,Subject affixes on verb,Expression of Pronominal Subjects,Berber (Figuig),,,Kossmann 1997
bma,Subject affixes on verb,Expression of Pronominal Subjects,Berber (Middle Atlas),,,Penchoen 1973b
brf,Subject affixes on verb,Expression of Pronominal Subjects,Berber (Rif),,,Kossmann 2000
bik,Subject affixes on verb,Expression of Pronominal Subjects,Biak,,,van den Heuvel 2006
bid,Mixed,Expression of Pronominal Subjects,Bidiya,,,Alio 1986
bln,Subject affixes on verb,Expression of Pronominal Subjects,Bilin,,,Reinisch 1882
blx,Subject affixes on verb,Expression of Pronominal Subjects,Biloxi,,,Einaudi 1976
bil,Subject clitics on variable host,Expression of Pronominal Subjects,Bilua,,,Obata 2003
bmb,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Bimoba,,,Jacobs 1970
bin,Subject affixes on verb,Expression of Pronominal Subjects,Binandere,,,Wilson 1996
big,Subject affixes on verb,Expression of Pronominal Subjects,Binga,,,Santandrea 1956
bbw,Subject affixes on verb,Expression of Pronominal Subjects,Bininj Gun-Wok,,,Evans 2004
bii,Subject affixes on verb,Expression of Pronominal Subjects,Biri,,,Terrill 1998
bir,Subject affixes on verb,Expression of Pronominal Subjects,Birom,,,Bouquiaux 1970
bla,Subject clitics on variable host,Expression of Pronominal Subjects,Blackfoot,,,Taylor 1969b
bob,Subject affixes on verb,Expression of Pronominal Subjects,Bobangi,,,Whitehead 1899
bol,Subject affixes on verb,Expression of Pronominal Subjects,Bolia,,,Mamet 1960
brr,Subject affixes on verb,Expression of Pronominal Subjects,Bororo,,,Huestis 1963
brh,Subject affixes on verb,Expression of Pronominal Subjects,Brahui,,,Bray 1909
bre,Subject affixes on verb,Expression of Pronominal Subjects,Breton,,,Ternes 1970
bud,Mixed,Expression of Pronominal Subjects,Buduma,,,Lukas and Nachtigal 1939
bul,Subject affixes on verb,Expression of Pronominal Subjects,Bulgarian,,,Scatton 1993
buw,Subject pronouns in different position,Expression of Pronominal Subjects,Bulu,,,Bates 1904
bum,Subject affixes on verb,Expression of Pronominal Subjects,Buma,,,Tryon 2002
bnb,Subject affixes on verb,Expression of Pronominal Subjects,Bunuba,,,Rumsey 2000
brm,Optional pronouns in subject position,Expression of Pronominal Subjects,Burmese,,,Okell 1969
brn,Subject pronouns in different position,Expression of Pronominal Subjects,Burunge,,,Kiessling 1994
bur,Subject affixes on verb,Expression of Pronominal Subjects,Burushaski,,,Tiffou and Pesot 1989;Lorimer 1935
bus,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Busa,,,Wedekind 1972
bsh,Subject affixes on verb,Expression of Pronominal Subjects,Bushoong,,,Edmiston 1932
bya,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Byansi,,,Trivedi 1991
cah,Subject affixes on verb,Expression of Pronominal Subjects,Cahuilla,,,Seiler 1977
cax,Subject affixes on verb,Expression of Pronominal Subjects,Campa (Axininca),,,Payne 1981
cde,Subject affixes on verb,Expression of Pronominal Subjects,Carib (De'kwana),,,Hall 1988
ctl,Subject affixes on verb,Expression of Pronominal Subjects,Catalan,,,Hualde 1992
cav,Mixed,Expression of Pronominal Subjects,Cavineña,,,Guillaume 2004
cyv,Subject affixes on verb,Expression of Pronominal Subjects,Cayuvava,,,Key 1967
cem,Subject pronouns in different position,Expression of Pronominal Subjects,Cèmuhî,,,Lynch 2002c
chh,Subject affixes on verb,Expression of Pronominal Subjects,Chaha,,,Leslau 1950
cai,Subject affixes on verb,Expression of Pronominal Subjects,Chai,,,Last and Lucassen 1998
cld,Subject affixes on verb,Expression of Pronominal Subjects,Chaldean (Modern),,,Sara 1974
chg,Optional pronouns in subject position,Expression of Pronominal Subjects,Chang,,,Hutton 1987
chn,Optional pronouns in subject position,Expression of Pronominal Subjects,Chantyal,,,Noonan 2003b
chc,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Chechen,,,
cmh,Subject clitics on variable host,Expression of Pronominal Subjects,Chemehuevi,,,Press 1979
che,Subject affixes on verb,Expression of Pronominal Subjects,Cherokee,,,Cook 1979;Holmes and Smith 1976;Foley 1980;Scancarelli 1987
cic,Subject affixes on verb,Expression of Pronominal Subjects,Chichewa,,,Bentley and Kulemeka 2001
chi,Subject affixes on verb,Expression of Pronominal Subjects,Chimariko,,,Dixon 1910
cle,Subject affixes on verb,Expression of Pronominal Subjects,Chinantec (Lealao),,,Rupp 1989
chs,Subject pronouns in different position,Expression of Pronominal Subjects,Chin (Siyin),,,Naylor 1925
cti,Mixed,Expression of Pronominal Subjects,Chin (Tiddim),,,Henderson 1965
cct,Subject affixes on verb,Expression of Pronominal Subjects,Choctaw,,,Davies 1981c
cln,Subject affixes on verb,Expression of Pronominal Subjects,Cholón,,,Adelaar 2004;Alexander Bakkerus 2005
chx,Subject affixes on verb,Expression of Pronominal Subjects,Chontal (Huamelultec Oaxaca),,,Waterhouse 1967
cmy,Subject affixes on verb,Expression of Pronominal Subjects,Chontal Maya,,,Knowles 1984
chk,Subject affixes on verb,Expression of Pronominal Subjects,Chukchi,,,Dunn 1999
cba,Subject affixes on verb,Expression of Pronominal Subjects,Chumash (Barbareño),,,Beeler 1976
