ID,Name,Parameter,Language,Frequency,Confidence,References
aba,SOV,"Order of Subject, Object and Verb",Abau,,,Bailey 1975
abi,SVO,"Order of Subject, Object and Verb",Abipón,,,Najlis 1966
abk,SOV,"Order of Subject, Object and Verb",Abkhaz,,,Hewitt 1979
abv,SOV,"Order of Subject, Object and Verb",Abui,,,Kratochvil 2007
abu,SVO,"Order of Subject, Object and Verb",Abun,,,Berry 1995b
ace,No dominant order,"Order of Subject, Object and Verb",Acehnese,,,Durie 1985
acg,SVO,"Order of Subject, Object and Verb",Achagua,,,Wilson and Levinsohn 1992
acl,SVO,"Order of Subject, Object and Verb",Acholi,,,Crazzolara 1955
acm,SVO,"Order of Subject, Object and Verb",Achumawi,,,Olmsted 1977
aco,No dominant order,"Order of Subject, Object and Verb",Acoma,,,Miller 1965;Maring 1967
adg,SOV,"Order of Subject, Object and Verb",Adang,,,Haan 2001
adi,SVO,"Order of Subject, Object and Verb",Adioukrou,,,Herault 1978
ady,SOV,"Order of Subject, Object and Verb",Adyghe (Abzakh),,,Paris 1989
adn,No dominant order,"Order of Subject, Object and Verb",Adynyamathanha,,,Schebeck 1974
adz,SVO,"Order of Subject, Object and Verb",Adzera,,,Holzknecht 1986
awi,SOV,"Order of Subject, Object and Verb",Aekyom,,,Voorhoeve 1975;Horowitz 2008
aga,SOV,"Order of Subject, Object and Verb",Agarabi,,,Goddard 1967
agh,SVO,"Order of Subject, Object and Verb",Aghem,,,Watters 1979
agc,VSO,"Order of Subject, Object and Verb",Agta (Central),,,Healey 1960
agd,VSO,"Order of Subject, Object and Verb",Agta (Dupaningan),,,Robinson 2008
ain,SOV,"Order of Subject, Object and Verb",Ainu,,,Shibatani 1990;Refsing 1986;Dettmer 1989
aja,SVO,"Order of Subject, Object and Verb",Aja,,,Santandrea 1976
ajg,No dominant order,"Order of Subject, Object and Verb",Ajagbe,,,Tchitchi 1984
akn,SVO,"Order of Subject, Object and Verb",Akan,,,Christaller 1875;Welmers 1946
akh,SOV,"Order of Subject, Object and Verb",Akha,,,Hansson 2003
all,SOV,"Order of Subject, Object and Verb",Ala'ala,,,Lanyon-Orgill 1943;Symonds 1989
ala,SOV,"Order of Subject, Object and Verb",Alamblak,,,Bruce 1984
